Keywords,Year,Journal/Conference,Tools,URL,Authors,Title
"Generative AI, Social Sciences",2024-05-09,PNAS,,https://www.pnas.org/doi/abs/10.1073/pnas.2314021121,Christopher A. Bail,Can Generative AI improve social science?
"ChatGPT, Thematic analysis, Qualitative Research",2025-03-21,Preprint,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5128905,"Sara Amani, Lance White, Trini Balart, Karan Watson, Kristi Shryock",Applying Generative AI for Thematic Analysis: A Model for Researchers Exploring Qualitative Methods
