Price,URL,💽 Tool,Resource Type,Format,Provider/Author,Description,Name
Free with registration for Cornell,https://socialsciences.cornell.edu/computing-and-data/workshops-and-training,2729bb86-13ea-8058-97a2-dbcdb9bd8154,Workshop,"Hybrid, Synchronous",Cornell / CCSS,,Qualitative Methods Workshops
Free with paid certificate,https://www.coursera.org/google-specializations/prompting-essentials-gwg,,MOOC,"Online, Asynchronous",Google / Coursera,,Prompting essentials
